                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
82,1.3398,0.68231,0.99086,0.96985,0.96129,0.97824,0.59264,1.3817,0.59184,1.0168,0.00011924,0.00011924,0.00011924
83,1.337,0.67818,0.9893,0.97246,0.9711,0.97922,0.60136,1.3788,0.57885,1.0137,0.00011627,0.00011627,0.00011627
84,1.3277,0.66627,0.97796,0.97458,0.96889,0.9801,0.59947,1.3718,0.58334,1.013,0.00011329,0.00011329,0.00011329
85,1.3543,0.6614,0.98884,0.97246,0.96796,0.97854,0.59833,1.3779,0.58271,1.0168,0.00011032,0.00011032,0.00011032
86,1.3249,0.65469,0.98379,0.97387,0.96705,0.98007,0.59403,1.4014,0.58058,1.0205,0.00010735,0.00010735,0.00010735
87,1.326,0.65911,0.9802,0.97478,0.96311,0.98058,0.6026,1.3897,0.57402,1.0158,0.00010438,0.00010438,0.00010438
88,1.3376,0.65898,0.98571,0.97291,0.97203,0.9847,0.59944,1.3807,0.57911,1.0134,0.00010141,0.00010141,0.00010141
89,1.3203,0.65076,0.97607,0.9791,0.96682,0.98013,0.60469,1.3756,0.57234,1.0104,9.84E-05,9.84E-05,9.84E-05
90,1.3166,0.65398,0.9824,0.97819,0.96581,0.98092,0.60719,1.3722,0.5699,1.0098,9.55E-05,9.55E-05,9.55E-05
91,1.3243,0.66031,0.97789,0.96199,0.96895,0.98148,0.60425,1.3728,0.57947,1.0108,9.25E-05,9.25E-05,9.25E-05
92,1.3278,0.65075,0.9842,0.97571,0.96732,0.98067,0.60397,1.3774,0.56722,1.0122,8.95E-05,8.95E-05,8.95E-05
93,1.3211,0.6608,0.97809,0.98018,0.96721,0.98283,0.60062,1.3893,0.57545,1.0167,8.65E-05,8.65E-05,8.65E-05
94,1.3296,0.6451,0.98139,0.97196,0.96937,0.97952,0.60446,1.376,0.57329,1.0125,8.36E-05,8.36E-05,8.36E-05
95,1.3179,0.64872,0.98547,0.97642,0.96538,0.98124,0.60157,1.3824,0.56825,1.0121,8.06E-05,8.06E-05,8.06E-05
96,1.3285,0.64986,0.9893,0.97651,0.96334,0.98163,0.6047,1.3788,0.56861,1.0126,7.76E-05,7.76E-05,7.76E-05
97,1.3119,0.63851,0.98495,0.97012,0.95655,0.97976,0.60402,1.3795,0.57922,1.0115,7.47E-05,7.47E-05,7.47E-05
98,1.3207,0.63883,0.97664,0.96789,0.96408,0.9799,0.60283,1.3653,0.56682,1.0096,7.17E-05,7.17E-05,7.17E-05
99,1.3115,0.64299,0.97984,0.97056,0.9587,0.97784,0.60366,1.3718,0.5706,1.0097,6.87E-05,6.87E-05,6.87E-05
100,1.3077,0.63657,0.97981,0.96909,0.95985,0.97791,0.60437,1.3764,0.57098,1.0123,6.57E-05,6.57E-05,6.57E-05
101,1.3018,0.62716,0.97984,0.97521,0.95952,0.97988,0.60904,1.375,0.56838,1.0123,6.28E-05,6.28E-05,6.28E-05
102,1.3188,0.63424,0.97733,0.96061,0.96758,0.97815,0.6071,1.3715,0.56837,1.0127,5.98E-05,5.98E-05,5.98E-05
103,1.3168,0.63039,0.98089,0.96582,0.9621,0.98041,0.6043,1.371,0.56315,1.0087,5.68E-05,5.68E-05,5.68E-05
104,1.3056,0.63092,0.97644,0.96962,0.96631,0.98225,0.60891,1.3721,0.5557,1.0099,5.39E-05,5.39E-05,5.39E-05
105,1.3082,0.63597,0.98207,0.97419,0.95325,0.98037,0.61026,1.375,0.56097,1.0091,5.09E-05,5.09E-05,5.09E-05
106,1.3055,0.62851,0.97439,0.97004,0.95857,0.97998,0.60285,1.3665,0.56254,1.0092,4.79E-05,4.79E-05,4.79E-05
107,1.2923,0.62065,0.97119,0.97712,0.95334,0.98023,0.60673,1.3721,0.56368,1.0093,4.49E-05,4.49E-05,4.49E-05
108,1.2992,0.61952,0.97695,0.97706,0.96182,0.9788,0.60918,1.3699,0.55889,1.0119,4.20E-05,4.20E-05,4.20E-05
109,1.2921,0.62633,0.97246,0.97365,0.9649,0.9794,0.60458,1.3723,0.55687,1.0129,3.90E-05,3.90E-05,3.90E-05
110,1.3096,0.62066,0.97649,0.97011,0.96303,0.97923,0.60513,1.3696,0.55948,1.012,3.60E-05,3.60E-05,3.60E-05
111,1.2607,0.58716,0.98667,0.97411,0.95942,0.97749,0.60699,1.3749,0.55819,1.013,3.30E-05,3.30E-05,3.30E-05
112,1.2619,0.582,0.98808,0.96549,0.96602,0.97727,0.60522,1.3759,0.55974,1.013,3.01E-05,3.01E-05,3.01E-05
113,1.2592,0.57667,0.98534,0.96643,0.96703,0.97956,0.61068,1.3733,0.55914,1.012,2.71E-05,2.71E-05,2.71E-05
114,1.252,0.57076,0.98743,0.96313,0.96129,0.9774,0.60753,1.3793,0.55925,1.0142,2.41E-05,2.41E-05,2.41E-05
115,1.2555,0.56916,0.98729,0.97132,0.96593,0.98026,0.61044,1.3692,0.55616,1.0113,2.12E-05,2.12E-05,2.12E-05
116,1.2502,0.56728,0.98769,0.96743,0.97014,0.98063,0.61165,1.3752,0.55627,1.0126,1.82E-05,1.82E-05,1.82E-05
117,1.2495,0.56741,0.983,0.97046,0.96799,0.97958,0.61097,1.3717,0.55619,1.012,1.52E-05,1.52E-05,1.52E-05
118,1.2356,0.56168,0.98666,0.96429,0.96182,0.97727,0.61205,1.3689,0.55479,1.0115,1.22E-05,1.22E-05,1.22E-05
119,1.2409,0.5645,0.98322,0.96615,0.96688,0.97789,0.61232,1.3717,0.55698,1.0118,9.27E-06,9.27E-06,9.27E-06
120,1.2464,0.56404,0.986,0.96583,0.96817,0.97782,0.61004,1.3719,0.55416,1.0115,6.30E-06,6.30E-06,6.30E-06
,,,,,,0.9847,,,,,,,
